log_id,timestamp,username,source_ip,destination_host,status,auth_method
1,2025-09-05 01:33:00,isaaccompton,192.168.118.69,db-server-01,SUCCESS,PASSWORD
2,2025-09-01 17:00:00,smithdarren,10.186.85.246,vpn-gateway,SUCCESS,SSH
3,2025-09-05 16:51:00,isaiahedwards,192.168.34.24,corp-server-01,FAILURE,PASSWORD
4,2025-09-03 10:48:00,danaburton,172.24.46.82,corp-server-01,SUCCESS,SSH
5,2025-09-07 21:23:00,christineallen,172.31.233.165,corp-server-01,SUCCESS,MFA
6,2025-09-02 18:53:00,mbentley,10.121.253.239,vpn-gateway,FAILURE,MFA
7,2025-09-03 06:28:00,frank51,10.148.44.38,corp-server-02,FAILURE,SSH
8,2025-09-02 07:45:00,wyatt08,172.23.179.69,corp-server-01,SUCCESS,PASSWORD
9,2025-09-06 15:45:00,leachharold,172.20.0.48,corp-server-01,SUCCESS,SSH
10,2025-09-03 17:55:00,jessica61,192.168.114.68,db-server-01,FAILURE,SSH
11,2025-09-01 07:54:00,rodriguezcory,172.25.20.34,corp-server-01,FAILURE,PASSWORD
12,2025-09-06 04:38:00,ginaharris,192.168.28.216,vpn-gateway,FAILURE,PASSWORD
13,2025-09-01 18:25:00,uross,10.103.37.240,corp-server-01,FAILURE,MFA
14,2025-09-01 00:57:00,egarcia,172.27.172.94,corp-server-02,SUCCESS,MFA
15,2025-09-06 01:36:00,brittanysmith,172.23.143.223,corp-server-01,FAILURE,MFA
16,2025-09-07 22:18:00,dperez,192.168.25.15,corp-server-01,FAILURE,MFA
17,2025-09-03 13:50:00,schultzeric,10.129.223.56,db-server-01,SUCCESS,SSH
18,2025-09-01 12:46:00,yortiz,10.7.172.191,corp-server-01,SUCCESS,MFA
19,2025-09-05 08:08:00,ashley80,10.163.160.61,db-server-01,SUCCESS,PASSWORD
20,2025-09-03 15:29:00,sara95,192.168.81.15,vpn-gateway,FAILURE,PASSWORD
21,2025-09-05 00:01:00,kenneth57,10.165.237.18,corp-server-01,SUCCESS,MFA
22,2025-09-01 14:19:00,erika09,172.22.155.115,vpn-gateway,FAILURE,MFA
23,2025-09-02 08:41:00,morgan94,10.183.249.3,corp-server-01,FAILURE,MFA
24,2025-09-05 20:38:00,joshuahansen,10.126.38.52,corp-server-01,SUCCESS,PASSWORD
25,2025-09-07 13:08:00,matthewesparza,192.168.210.32,db-server-01,FAILURE,PASSWORD
26,2025-09-06 20:32:00,stephanie84,192.168.74.16,vpn-gateway,SUCCESS,PASSWORD
27,2025-09-05 20:47:00,vmiller,10.134.250.2,corp-server-02,FAILURE,MFA
28,2025-09-06 07:17:00,iguerrero,172.18.139.0,corp-server-02,FAILURE,PASSWORD
29,2025-09-04 18:51:00,vanessa28,192.168.205.71,db-server-01,SUCCESS,SSH
30,2025-09-04 07:37:00,chris27,192.168.61.43,vpn-gateway,FAILURE,SSH
31,2025-09-04 11:55:00,charlotte73,10.45.61.145,corp-server-02,SUCCESS,SSH
32,2025-09-03 05:22:00,michael33,10.160.24.175,corp-server-01,SUCCESS,PASSWORD
33,2025-09-02 17:20:00,valerie95,10.218.215.48,db-server-01,SUCCESS,PASSWORD
34,2025-09-04 14:59:00,bellmaria,172.20.116.25,db-server-01,SUCCESS,MFA
35,2025-09-06 14:28:00,juliedavis,10.145.199.66,corp-server-01,SUCCESS,SSH
