log_id,timestamp,source_ip,destination_ip,source_port,destination_port,protocol,action
1,2025-09-05 11:32:00,10.172.188.110,10.220.238.198,58807,22,TCP,ALLOW
2,2025-09-01 15:26:00,192.168.86.83,10.241.246.100,52614,22,UDP,DROP
3,2025-09-03 07:09:00,10.186.10.27,172.31.19.101,6637,8080,UDP,ALLOW
4,2025-09-02 01:54:00,192.168.176.67,192.168.161.160,16471,80,TCP,ALLOW
5,2025-09-05 10:28:00,172.21.254.189,10.167.129.115,19270,443,TCP,DENY
6,2025-09-03 07:09:00,172.28.23.160,172.24.100.254,60772,22,TCP,DROP
7,2025-09-07 12:59:00,192.168.177.228,10.91.126.17,5271,3389,TCP,ALLOW
8,2025-09-05 11:11:00,172.29.127.198,10.172.167.156,10781,443,TCP,DROP
9,2025-09-03 02:09:00,10.158.171.102,10.158.50.142,61215,3389,UDP,ALLOW
10,2025-09-07 01:50:00,10.3.51.10,172.28.171.176,7999,3389,UDP,DENY
11,2025-09-03 22:56:00,172.18.118.241,192.168.95.126,34270,80,TCP,DROP
12,2025-09-05 16:42:00,172.28.73.174,192.168.230.31,38254,443,UDP,DROP
13,2025-09-03 12:37:00,10.16.190.147,10.106.142.238,47506,3389,UDP,ALLOW
14,2025-09-04 11:11:00,10.80.5.180,192.168.55.207,41420,3389,UDP,DENY
15,2025-09-03 19:04:00,10.3.247.222,172.23.40.178,45157,443,UDP,DENY
16,2025-09-04 22:45:00,10.134.227.121,192.168.124.176,56552,443,UDP,ALLOW
17,2025-09-02 04:49:00,192.168.186.86,172.21.193.110,18450,3389,UDP,DENY
18,2025-09-03 07:05:00,172.22.131.223,172.31.219.238,41178,8080,UDP,DROP
19,2025-09-07 08:44:00,172.16.211.83,192.168.93.86,43384,3389,UDP,DENY
20,2025-09-04 19:41:00,10.54.204.118,10.41.0.63,41692,443,UDP,DROP
21,2025-09-06 04:30:00,172.23.86.13,192.168.171.181,38222,3389,UDP,DENY
22,2025-09-06 23:40:00,10.156.100.32,172.27.60.78,27886,443,TCP,DENY
23,2025-09-06 13:55:00,192.168.62.146,192.168.203.198,29540,443,TCP,ALLOW
24,2025-09-06 21:06:00,172.20.183.185,192.168.99.55,33045,8080,UDP,ALLOW
25,2025-09-06 14:27:00,192.168.147.146,172.31.98.24,21418,8080,TCP,ALLOW
26,2025-09-06 06:02:00,10.98.182.173,192.168.14.99,11916,3389,UDP,ALLOW
27,2025-09-01 03:46:00,192.168.91.148,172.26.2.199,63723,443,TCP,ALLOW
28,2025-09-06 08:42:00,172.29.95.55,10.187.49.11,62682,3389,UDP,ALLOW
29,2025-09-06 17:35:00,172.27.155.195,10.30.166.76,59219,8080,TCP,ALLOW
30,2025-09-03 00:58:00,172.23.250.15,10.207.236.46,61512,22,TCP,ALLOW
31,2025-09-01 13:21:00,172.25.60.171,172.28.233.120,54565,8080,UDP,DROP
32,2025-09-02 09:41:00,192.168.66.169,172.29.42.124,58894,3389,UDP,DENY
33,2025-09-03 16:57:00,172.19.146.48,10.244.4.56,31929,3389,UDP,DROP
34,2025-09-02 10:20:00,172.30.37.29,10.44.124.192,42857,443,UDP,DENY
35,2025-09-02 05:01:00,10.58.233.55,10.67.101.102,10273,3389,UDP,DENY
36,2025-09-01 06:19:00,10.123.91.227,10.215.74.76,58401,8080,UDP,ALLOW
