log_id,timestamp,client_ip,http_method,url,response_code,user_agent
1,2025-09-06 14:32:00,125.122.199.193,GET,/dashboard,404,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_4; rv:1.9.3.20) Gecko/2012-03-07 06:54:29 Firefox/3.8
2,2025-09-05 18:22:00,220.195.104.118,PUT,/dashboard,200,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_0) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/50.0.894.0 Safari/536.2"
3,2025-09-02 13:24:00,97.59.129.104,GET,/api/data,200,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.01; Trident/5.0)
4,2025-09-05 03:13:00,157.137.110.163,POST,/,200,"Mozilla/5.0 (Linux; Android 2.3.2) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/24.0.848.0 Safari/534.0"
5,2025-09-04 06:51:00,200.237.104.86,GET,/search,200,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/3.1)
6,2025-09-07 14:36:00,209.173.136.33,GET,/,500,Opera/8.41.(Windows NT 5.2; ber-DZ) Presto/2.9.178 Version/12.00
7,2025-09-05 08:23:00,218.41.63.208,PUT,/dashboard,500,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/4.0)
8,2025-09-05 04:12:00,218.185.176.99,GET,/login,500,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/19.0.856.0 Safari/534.1"
9,2025-09-02 17:16:00,87.112.201.98,POST,/search,404,"Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/531.37.5 (KHTML, like Gecko) Version/5.1 Safari/531.37.5"
10,2025-09-01 01:59:00,203.145.138.169,PUT,/dashboard,401,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) FxiOS/9.5g0743.0 Mobile/46R678 Safari/534.2"
11,2025-09-03 14:43:00,155.48.59.157,GET,/admin,500,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) FxiOS/12.0z4213.0 Mobile/60O837 Safari/534.1"
12,2025-09-03 20:43:00,148.148.34.170,POST,/api/data,404,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/531.34.6 (KHTML, like Gecko) Version/4.0 Safari/531.34.6"
13,2025-09-05 06:28:00,217.198.195.213,POST,/,200,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/5.1)
14,2025-09-02 17:51:00,154.170.163.128,GET,/login,200,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/3.1)
15,2025-09-04 10:52:00,46.220.101.87,PUT,/api/data,200,Opera/9.39.(X11; Linux x86_64; am-ET) Presto/2.9.167 Version/10.00
16,2025-09-04 07:44:00,109.195.227.208,PUT,/search,200,"Mozilla/5.0 (Linux; Android 2.2.3) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/27.0.848.0 Safari/532.0"
17,2025-09-04 00:53:00,192.245.74.86,PUT,/api/data,200,Opera/8.23.(X11; Linux i686; lv-LV) Presto/2.9.169 Version/12.00
18,2025-09-01 04:10:00,173.153.113.171,POST,/admin,404,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/63.0.844.0 Safari/533.1"
19,2025-09-05 03:16:00,73.175.53.35,GET,/dashboard,200,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.0; Trident/4.1)
20,2025-09-04 01:28:00,117.10.146.38,GET,/admin,200,"Mozilla/5.0 (iPad; CPU iPad OS 14_2 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) FxiOS/13.9j7608.0 Mobile/30E876 Safari/532.0"
